cA,cH,cV,cD,mean
202.9480652,-0.060791889,-0.080256075,-0.167827577,50.65979743
202.0599017,-0.061302077,-0.080192422,-0.166032648,50.43809363
200.3481366,-0.062814334,-0.07776308,-0.169079759,50.00961986
199.1841909,-0.063542065,-0.077376081,-0.171579705,49.71792326
197.1302847,-0.065011471,-0.079766162,-0.168070606,49.2043591
193.4860531,-0.064293753,-0.081454743,-0.172444534,48.29196503
192.3539957,-0.061340729,-0.078229245,-0.174760365,48.00991634
191.7492248,-0.062943576,-0.085902173,-0.174976524,47.85635064
190.6815808,-0.062492645,-0.081005807,-0.174618321,47.590866
187.7236434,-0.062421345,-0.083290516,-0.177672272,46.85006481
183.8083618,-0.065266322,-0.083677483,-0.183165126,45.86906321
179.6434462,-0.060291614,-0.08535992,-0.186712989,44.82777041
176.2624675,-0.062411842,-0.08583065,-0.183888197,43.98258419
173.6248051,-0.065759598,-0.08109404,-0.188698748,43.32231318
171.0381118,-0.063323467,-0.081548303,-0.191728249,42.67537795
